x,50.xy,Ycalc,Diff,Gd2O3,UO2
19.96,97,102.613221,-5.61322095,11.8105783,0
19.98,84,103.027096,-19.027096,12.3007332,0
20,97,103.142077,-6.1420772,12.492087,0
20.02,105,102.932681,2.06731934,12.3591557,0
20.04,92,102.418673,-10.4186729,11.9217063,0
20.06,93,101.658009,-8.65800856,11.2376935,0
20.08,97,100.730031,-3.73003064,10.3864605,0
20.1,91,99.716911,-8.71691104,9.45017927,0
20.12,88,98.6893545,-10.6893545,8.4995548,0
20.14,103,97.6991574,5.30084259,7.58638362,0
20.16,109,96.7782964,12.2217036,6.74264245,0
20.18,64,95.9422408,-31.9422408,5.98380071,0
20.2,89,95.1947868,-6.1947868,5.31365478,0
20.22,78,94.5325534,-16.5325534,4.72882365,0
20.24,81,93.9483695,-12.9483695,4.22213639,0
20.26,97,93.4335071,3.56649295,3.78486506,0
20.28,96,92.9790101,3.02098987,3.4080537,0
20.3,89,92.5764112,-3.57641117,3.08323484,0
20.32,99,92.2180683,6.78193173,2.80276662,0
20.34,80,91.8972817,-11.8972817,2.55994932,0
20.36,96,91.6082891,4.39171089,2.34902072,0
20.38,84,91.3461991,-7.34619913,2.16508936,0
20.4,90,91.1068964,-1.10689639,2.00403991,0
20.42,90,90.8869386,-0.886938638,1.86243011,0
20.44,87,90.683456,-3.68345597,1.73739005,0
20.46,82,90.4940583,-8.49405829,1.62652961,0
20.48,86,90.3167535,-4.31675354,1.5278567,0
20.5,86,90.1498776,-4.14987763,1.43970719,0
20.52,80,89.9920356,-9.99203559,1.36068606,0
20.54,94,89.8420531,4.15794694,1.28961889,0
20.56,103,89.6989789,13.3010211,1.22555443,0
20.58,84,89.5625409,-5.5625409,1.16822051,0
20.6,83,89.4328351,-6.43283508,1.11771295,0
20.62,102,89.3143014,12.6856986,1.07847168,0
20.64,85,89.1932541,-4.19325412,1.03681075,0
20.66,107,89.0740161,17.9259839,0.997053037,0
20.68,71,88.958062,-17.958062,0.96067302,0
20.7,70,88.8450417,-18.8450417,0.927320347,0
20.72,90,88.7346485,1.2653515,0.896688412,0
20.74,83,88.6266136,-5.62661355,0.868508045,0
20.76,85,88.5207,-3.52069996,0.842542232,0
20.78,84,88.4166986,-4.41669859,0.818581679,0
20.8,97,88.3144243,8.6855757,0.796441064,0
20.82,92,88.2137127,3.78628726,0.775955864,0
20.84,61,88.1144177,-27.1144177,0.756979655,0
20.86,99,88.0164087,10.9835913,0.739381805,0
20.88,78,87.9195692,-9.91956916,0.723045499,0
20.9,88,87.8237946,0.176205389,0.707866048,0
20.92,87,87.7289912,-0.728991242,0.693749423,0
20.94,91,87.6350747,3.36492535,0.680610996,0
20.96,76,87.5419688,-11.5419688,0.668374447,0
20.98,80,87.4496049,-7.44960487,0.656970816,0
21,82,87.3579208,-5.35792078,0.646337675,0
21.02,84,87.2668601,-3.26686015,0.63641841,0
21.04,71,87.1763718,-16.1763718,0.627161588,0
21.06,92,87.0864093,4.91359075,0.618520406,0
21.08,78,86.9969301,-8.99693008,0.610452205,0
21.1,90,86.9078957,3.09210434,0.602918042,0
21.12,85,86.8192707,-1.81927068,0.595882313,0
21.14,101,86.7310228,14.2689772,0.589312418,0
21.16,106,86.6431226,19.3568774,0.583178468,0
21.18,88,86.5555428,1.44445723,0.577453019,0
21.2,87,86.4682585,0.531741489,0.572110843,0
21.22,93,86.3812469,6.61875309,0.567128715,0
21.24,74,86.2944869,-12.2944869,0.562485233,0
21.26,82,86.2079591,-4.2079591,0.558160646,0
21.28,85,86.1216456,-1.12164561,0.554136711,0
21.3,88,86.0355299,1.96447008,0.550396554,0
21.32,76,85.9495968,-9.94959679,0.546924557,0
21.34,79,85.8638321,-6.86383211,0.543706245,0
21.36,74,85.7782228,-11.7782228,0.54072819,0
21.38,86,85.6927569,0.307243101,0.537977923,0
21.4,108,85.6074231,22.3925769,0.535443858,0
21.42,97,85.5222111,11.4777889,0.533115217,0
21.44,77,85.4371112,-8.43711119,0.530981966,0
